claim,noise,model,alpha,seed,direction,threshold,empirical_tail,gaussian_tail,gap,gap_upper95,theorem_rate,normalized_upper
4,iid,sgd,0.08,1729,axis_0,0.45,0.2744140625,0.2730088051737921,0.0014052573262078871,0.0062367209499525605,1.8782496983989507,0.0033204961807095394
4,iid,sgd,0.08,1729,axis_0,0.7,0.179534912109375,0.1738272400666594,0.005707672042715606,0.009863289992725916,1.2074462346850399,0.008168719823204995
4,iid,sgd,0.08,1729,axis_0,0.95,0.11181640625,0.1012327333519929,0.010583672898007102,0.013995878897830646,0.8896972255573977,0.0157310582699212
4,iid,sgd,0.08,1729,axis_0,1.2,0.06439208984375,0.05370231816512683,0.010689771678623172,0.013347400387095571,0.7043436368996066,0.018950125603247325
4,iid,sgd,0.08,1729,axis_3,0.45,0.24176025390625,0.24053995263804717,0.001220301268202828,0.0058561240819351885,1.8782496983989507,0.0031178623837538957
4,iid,sgd,0.08,1729,axis_3,0.7,0.14483642578125,0.1365409844100126,0.008295441371237389,0.012106052225877992,1.2074462346850399,0.010026162555416667
4,iid,sgd,0.08,1729,axis_3,0.95,0.079498291015625,0.0684521350827646,0.011046155932860402,0.013975175680858619,0.8896972255573977,0.01570778831203293
4,iid,sgd,0.08,1729,axis_3,1.2,0.03759765625,0.03013285555817935,0.00746480069182065,0.009524433619277576,0.7043436368996066,0.01352242445349888
4,iid,sgd,0.08,1729,mean,0.45,0.24212646484375,0.24014102836435636,0.001985436479393643,0.006623648588415486,1.8782496983989507,0.003526500546791828
4,iid,sgd,0.08,1729,mean,0.7,0.14208984375,0.13610501592554702,0.005984827824452976,0.009765191023973337,1.2074462346850399,0.008087474823688998
4,iid,sgd,0.08,1729,mean,0.95,0.075897216796875,0.06809560300181894,0.0078016137950560616,0.010669118691484753,0.8896972255573977,0.011991853391248378
4,iid,sgd,0.08,1729,mean,1.2,0.03558349609375,0.029900092976545944,0.0056834031172040556,0.007689203586089473,0.7043436368996066,0.010916835452558298
4,iid,sgd,0.08,1729,alternating,0.45,0.24676513671875,0.24014102836435636,0.006624108354393643,0.01129218750711235,1.8782496983989507,0.00601208003213736
4,iid,sgd,0.08,1729,alternating,0.7,0.14556884765625,0.13610501592554702,0.009463831730702976,0.013282429047324611,1.2074462346850399,0.011000431046761521
4,iid,sgd,0.08,1729,alternating,0.95,0.07501220703125,0.06809560300181894,0.0069166040294310616,0.009768706181808357,0.8896972255573977,0.010979809648937857
4,iid,sgd,0.08,1729,alternating,1.2,0.034637451171875,0.029900092976545944,0.0047373581953290556,0.006717285707094581,0.7043436368996066,0.009536943837049283
4,iid,linear,0.08,1729,axis_0,0.45,0.298187255859375,0.29720815768556674,0.0009790981738082571,0.005932302780533166,1.8782496983989507,0.0031584207283993993
4,iid,linear,0.08,1729,axis_0,0.7,0.207489013671875,0.2037641352509022,0.003724878420972799,0.008115553533167424,1.2074462346850399,0.006721254578498355
4,iid,linear,0.08,1729,axis_0,0.95,0.1373291015625,0.13049481332680246,0.006834288235697539,0.010561078627334682,0.8896972255573977,0.011870418749162826
4,iid,linear,0.08,1729,axis_0,1.2,0.087249755859375,0.07782434558402673,0.009425410275348267,0.012480958855585868,0.7043436368996066,0.017719985248287034
4,iid,linear,0.08,1729,axis_3,0.45,0.261077880859375,0.26225914010653817,0.0011812592471631689,0.005936970485671438,1.8782496983989507,0.00316090586397123
4,iid,linear,0.08,1729,axis_3,0.7,0.165313720703125,0.16109940308129078,0.004214317621834218,0.008236365086664522,1.2074462346850399,0.006821310009561595
4,iid,linear,0.08,1729,axis_3,0.95,0.09783935546875,0.08955459636336105,0.00828475910538895,0.011501601874623592,0.8896972255573977,0.012927546073236103
4,iid,linear,0.08,1729,axis_3,1.2,0.0523681640625,0.04484301088518228,0.007525153177317723,0.009937193698166884,0.7043436368996066,0.014108445334877468
4,iid,linear,0.08,1729,mean,0.45,0.26385498046875,0.26246134653937636,0.0013936339293736388,0.006165579056821444,1.8782496983989507,0.0032826194845536672
4,iid,linear,0.08,1729,mean,0.7,0.165496826171875,0.16133541967928666,0.004161406492588338,0.008185239371851411,1.2074462346850399,0.006778967987743583
4,iid,linear,0.08,1729,mean,0.95,0.09649658203125,0.0897667235307733,0.006729858500476693,0.009926927203688339,0.8896972255573977,0.011157646577428734
4,iid,linear,0.08,1729,mean,1.2,0.05096435546875,0.044999631262410245,0.005964724206339755,0.00834597772141787,0.7043436368996066,0.011849298104197202
4,iid,linear,0.08,1729,alternating,0.45,0.270538330078125,0.26246134653937636,0.008076983538748639,0.012887002015387478,1.8782496983989507,0.006861176139877759
4,iid,linear,0.08,1729,alternating,0.7,0.168609619140625,0.16133541967928666,0.007274199461338338,0.011328115738864853,1.2074462346850399,0.009381880048530501
4,iid,linear,0.08,1729,alternating,0.95,0.096923828125,0.0897667235307733,0.007157104594226693,0.01036048544376096,0.8896972255573977,0.011644956448268216
4,iid,linear,0.08,1729,alternating,1.2,0.051025390625,0.044999631262410245,0.006025759362589755,0.008408361731684029,0.7043436368996066,0.011937868522098273
4,iid,contractive,0.08,1729,axis_0,0.45,0.28424072265625,0.2846068247368555,0.00036610208060550153,0.0052499006815846724,1.8782496983989507,0.0027951026352139277
4,iid,contractive,0.08,1729,axis_0,0.7,0.191680908203125,0.18796029127403735,0.00372061692908765,0.007982602267668374,1.2074462346850399,0.006611145108047499
4,iid,contractive,0.08,1729,axis_0,0.95,0.12200927734375,0.11474657436629188,0.007262702977458124,0.010806529831366816,0.8896972255573977,0.012146300472721487
4,iid,contractive,0.08,1729,axis_0,1.2,0.07354736328125,0.06452065254973405,0.009026710731515952,0.011853062859485192,0.7043436368996066,0.01682852266779925
4,iid,contractive,0.08,1729,axis_3,0.45,0.302825927734375,0.3099910034093183,0.007165075674943289,0.01214013479307548,1.8782496983989507,0.006463536133360714
4,iid,contractive,0.08,1729,axis_3,0.7,0.217193603515625,0.2202460684564681,0.0030524649408431026,0.007517057202462061,1.2074462346850399,0.0062255833730127715
4,iid,contractive,0.08,1729,axis_3,0.95,0.147308349609375,0.14758461028838432,0.0002762606790093214,0.004113693546825486,0.8896972255573977,0.004623700545146969
4,iid,contractive,0.08,1729,axis_3,1.2,0.093994140625,0.09302821225967983,0.0009659283653201678,0.004125636715143788,0.7043436368996066,0.00585742029743336
4,iid,contractive,0.08,1729,mean,0.45,0.311798095703125,0.3207645286368521,0.00896643293372712,0.013982066129635973,1.8782496983989507,0.007444199853488332
4,iid,contractive,0.08,1729,mean,0.7,0.22540283203125,0.23446916634829895,0.009066334317048952,0.013590606666713339,1.2074462346850399,0.011255661971779988
4,iid,contractive,0.08,1729,mean,0.95,0.15484619140625,0.16283987544579825,0.007993684039548254,0.01191064501126015,0.8896972255573977,0.013387301510126771
4,iid,contractive,0.08,1729,mean,1.2,0.102691650390625,0.10721080139375283,0.00451915100312783,0.007805922598918743,0.7043436368996066,0.01108254861686407
4,iid,contractive,0.08,1729,alternating,0.45,0.322601318359375,0.3207645286368521,0.0018367897225228802,0.006898372530607081,1.8782496983989507,0.00367276647853976
4,iid,contractive,0.08,1729,alternating,0.7,0.235931396484375,0.23446916634829895,0.0014622301360760481,0.006059395756680802,1.2074462346850399,0.005018356579878179
4,iid,contractive,0.08,1729,alternating,0.95,0.164031982421875,0.16283987544579825,0.0011921069760767455,0.005201606829734023,0.8896972255573977,0.005846491008753233
4,iid,contractive,0.08,1729,alternating,1.2,0.10614013671875,0.10721080139375283,0.0010706646750028304,0.004405739972236254,0.7043436368996066,0.006255100126451806
4,iid,sgd,0.08,2718,axis_0,0.45,0.277557373046875,0.2730088051737921,0.004548567873082887,0.009397087630440705,1.8782496983989507,0.005003108819051551
4,iid,sgd,0.08,2718,axis_0,0.7,0.1842041015625,0.1738272400666594,0.010376861495840606,0.014574175986875687,1.2074462346850399,0.01207024840379525
4,iid,sgd,0.08,2718,axis_0,0.95,0.112091064453125,0.1012327333519929,0.010858331101132102,0.014274197009212414,0.8896972255573977,0.016043881670272257
4,iid,sgd,0.08,2718,axis_0,1.2,0.06298828125,0.05370231816512683,0.009285963084873172,0.011916433938730413,0.7043436368996066,0.01691849448826485
4,iid,sgd,0.08,2718,axis_3,0.45,0.247772216796875,0.24053995263804717,0.007232264158827828,0.011906731092728877,1.8782496983989507,0.006339269535290414
4,iid,sgd,0.08,2718,axis_3,0.7,0.148406982421875,0.1365409844100126,0.011865998011862389,0.015715232046403856,1.2074462346850399,0.013015264444054642
4,iid,sgd,0.08,2718,axis_3,0.95,0.080902099609375,0.0684521350827646,0.012449964526610402,0.015402477994058713,0.8896972255573977,0.017312044537858392
4,iid,sgd,0.08,2718,axis_3,1.2,0.040557861328125,0.03013285555817935,0.01042500576994565,0.01256089153458388,0.7043436368996066,0.017833470590967012
4,iid,sgd,0.08,2718,mean,0.45,0.246246337890625,0.24014102836435636,0.006105309526268643,0.010770084642460905,1.8782496983989507,0.0057341069462923345
4,iid,sgd,0.08,2718,mean,0.7,0.143798828125,0.13610501592554702,0.007693812199452976,0.011493051825120863,1.2074462346850399,0.009518479162857967
4,iid,sgd,0.08,2718,mean,0.95,0.07647705078125,0.06809560300181894,0.008381447779431062,0.011258982123305393,0.8896972255573977,0.012654846839891638
4,iid,sgd,0.08,2718,mean,1.2,0.036285400390625,0.029900092976545944,0.0063853074140790556,0.008410056832313356,0.7043436368996066,0.011940275160762305
4,iid,sgd,0.08,2718,alternating,0.45,0.245452880859375,0.24014102836435636,0.005311852495018643,0.00997155674904927,1.8782496983989507,0.005308962252223003
4,iid,sgd,0.08,2718,alternating,0.7,0.142974853515625,0.13610501592554702,0.006869837590077976,0.010659999096363258,1.2074462346850399,0.008828549702789788
4,iid,sgd,0.08,2718,alternating,0.95,0.072601318359375,0.06809560300181894,0.0045057153575560616,0.007315264252022873,0.8896972255573977,0.008222195193920988
4,iid,sgd,0.08,2718,alternating,1.2,0.033721923828125,0.029900092976545944,0.0038218308515790556,0.005776342838992802,0.7043436368996066,0.008201029350416538
4,iid,linear,0.08,2718,axis_0,0.45,0.29852294921875,0.29720815768556674,0.0013147915331832571,0.006269598041029402,1.8782496983989507,0.0033380002916405123
4,iid,linear,0.08,2718,axis_0,0.7,0.20989990234375,0.2037641352509022,0.006135767092847799,0.010545154727646217,1.2074462346850399,0.008733436259707995
4,iid,linear,0.08,2718,axis_0,0.95,0.13885498046875,0.13049481332680246,0.008360167141947539,0.012104289058192679,0.8896972255573977,0.013604953135162705
4,iid,linear,0.08,2718,axis_0,1.2,0.0858154296875,0.07782434558402673,0.007991084103473267,0.011023793089163528,0.7043436368996066,0.01565115734939876
4,iid,linear,0.08,2718,axis_3,0.45,0.266571044921875,0.26225914010653817,0.004311904815336831,0.009099491129208999,1.8782496983989507,0.00484466529501671
4,iid,linear,0.08,2718,axis_3,0.7,0.170013427734375,0.16109940308129078,0.008914024653084218,0.012981343777687008,1.2074462346850399,0.01075107396485705
4,iid,linear,0.08,2718,axis_3,0.95,0.09967041015625,0.08955459636336105,0.01011581379288895,0.013359321905022408,0.8896972255573977,0.015015582291664175
4,iid,linear,0.08,2718,axis_3,1.2,0.0555419921875,0.04484301088518228,0.010698981302317723,0.013178875525924671,0.7043436368996066,0.01871086048840549
4,iid,linear,0.08,2718,mean,0.45,0.2650146484375,0.26246134653937636,0.002553301898123639,0.0073319536881197005,1.8782496983989507,0.003903609671477425
4,iid,linear,0.08,2718,mean,0.7,0.168182373046875,0.16133541967928666,0.006846953367588338,0.010896770390160373,1.2074462346850399,0.009024642321239899
4,iid,linear,0.08,2718,mean,0.95,0.095855712890625,0.0897667235307733,0.006088989359851693,0.009276553818970528,0.8896972255573977,0.010426641280306053
